【点击上方五星评价】001 一个真实的鬼故事 | 霄旭民间故事 | 鬼故事
045 夜路遇鬼 | 霄旭民间故事 | 鬼故事
046 夺命电梯 | 霄旭民间故事 | 鬼故事
047 义庄 | 霄旭民间故事 | 鬼故事
048 白衣女孩 | 霄旭民间故事 | 鬼故事
049 凶车 | 霄旭民间故事 | 鬼故事
050 梅子镇鬼事 | 霄旭民间故事 | 鬼故事
番外篇（记得点击上方五星好评哦）
051 血脚印 | 霄旭民间故事 | 鬼故事
052 湖水中的人头 | 霄旭民间故事 | 鬼故事
053 诡异情伤 | 霄旭民间故事 | 鬼故事
054 流血的骨灰盒 | 霄旭民间故事 | 鬼故事
055 闹鬼的礼堂 | 霄旭民间故事 | 鬼故事
056 吸血的孤儿 | 霄旭民间故事 | 鬼故事
057 女生寝室凶杀案 | 霄旭民间故事 | 鬼故事
058 见鬼 | 霄旭民间故事 | 鬼故事
059 有只女鬼在身旁 | 霄旭民间故事 | 鬼故事
060 殡仪馆里的化妆师 | 霄旭民间故事 | 鬼故事
061 鬼婴 | 霄旭民间故事 | 鬼故事
062 午夜情杀 | 霄旭民间故事 | 鬼故事
063 穿红旗袍的女人 | 霄旭民间故事 | 鬼故事
064 天花板上的女人 | 霄旭民间故事 | 鬼故事
065 阴灵 | 霄旭民间故事 | 鬼故事
066 坟场惊魂 | 霄旭民间故事 | 鬼故事
067 死婴 | 霄旭民间故事 | 鬼故事
068 鬼戏 | 霄旭民间故事 | 鬼故事
069 鬼血（上） | 霄旭民间故事 | 鬼故事
070 鬼血（下） | 霄旭民间故事 | 鬼故事
071 魂牵梦绕 | 霄旭民间故事 | 鬼故事
072 诅咒 | 霄旭民间故事 | 鬼故事
073 鬼煞小妾 | 霄旭民间故事 | 鬼故事
074 流血的玫瑰 | 霄旭民间故事 | 鬼故事
075 墙里的阴魂（上）| 霄旭民间故事 | 鬼故事
076 墙里的阴魂（下）| 霄旭民间故事 | 鬼故事
077 鬼楼 | 霄旭民间故事 | 鬼故事
078 冤鬼缠身 | 霄旭民间故事 | 鬼故事
079 废墟阴魂 | 霄旭民间故事 | 鬼故事
080 索命阴魂 | 霄旭民间故事 | 鬼故事
081 阴魂入骨 | 霄旭民间故事 | 鬼故事
082 鬼上身 | 霄旭民间故事 | 鬼故事
083 古宅讲鬼之女友不是人（上） | 霄旭民间故事 | 鬼故事
084 古宅讲鬼之女友不是人（下） | 霄旭民间故事 | 鬼故事
085 古宅讲鬼之阴宅 | 霄旭民间故事 | 鬼故事
086 古宅讲鬼之孤坟 | 霄旭民间故事 | 鬼故事
087 古宅讲鬼之鬼妻 | 霄旭民间故事 | 鬼故事
088 古宅讲鬼之尸变 | 霄旭民间故事 | 鬼故事
089 古宅讲鬼之殉情 | 霄旭民间故事 | 鬼故事
090 古宅讲鬼之精神病院 | 霄旭民间故事 | 鬼故事
091 阴历七月半 | 霄旭民间故事 | 鬼故事
092 七夕之夜 | 霄旭民间故事 | 鬼故事
093 猛鬼俱乐部之鬼子 | 霄旭民间故事 | 鬼故事
094 猛鬼俱乐部之午夜公交车 | 霄旭民间故事 | 鬼故事
095 墙缝里的人 | 霄旭民间故事 | 鬼故事
096 女孩的头颅（上） | 霄旭民间故事 | 鬼故事
097 女孩的头颅（下） | 霄旭民间故事 | 鬼故事
098 领鬼回家 | 霄旭民间故事 | 鬼故事
099 孽缘（上） | 霄旭民间故事 | 鬼故事
100 孽缘（下） | 霄旭民间故事 | 鬼故事
101 凶魅（上）| 霄旭民间故事 | 鬼故事
102 凶魅（下）| 霄旭民间故事 | 鬼故事
103 阴魂不散（上）| 霄旭民间故事 | 鬼故事
104 阴魂不散（下）| 霄旭民间故事 | 鬼故事
105 乡村鬼事 | 霄旭民间故事 | 鬼故事
106 黑心人（上） | 霄旭民间故事 | 鬼故事
107 黑心人（下） | 霄旭民间故事 | 鬼故事
108 鬼魂 | 霄旭民间故事 | 鬼故事
109 魅影咒怨 | 霄旭民间故事 | 鬼故事
110鬼娃（一） | 霄旭民间故事 | 鬼故事
111鬼娃（二） | 霄旭民间故事 | 鬼故事
112鬼娃（三） | 霄旭民间故事 | 鬼故事
113鬼娃（四） | 霄旭民间故事 | 鬼故事
114鬼娃（五） | 霄旭民间故事 | 鬼故事
115鬼娃（六） | 霄旭民间故事 | 鬼故事
116鬼娃（七） | 霄旭民间故事 | 鬼故事
117鬼娃（八） | 霄旭民间故事 | 鬼故事
118十八层地狱之拔舌地狱（上） | 霄旭民间故事 | 鬼故事
119十八层地狱之拔舌地狱（下） | 霄旭民间故事 | 鬼故事
120十八层地狱之剪刀地狱（上） | 霄旭民间故事 | 鬼故事
121十八层地狱之剪刀地狱（下） | 霄旭民间故事 | 鬼故事
122十八层地狱之铁树地狱（上） | 霄旭民间故事 | 鬼故事
123十八层地狱之铁树地狱（下） | 霄旭民间故事 | 鬼故事
124十八层地狱之孽镜地狱 | 霄旭民间故事 | 鬼故事
125十八层地狱之蒸笼地狱 | 霄旭民间故事 | 鬼故事
126十八层地狱之铜柱地狱（上） | 霄旭民间故事 | 鬼故事
127十八层地狱之铜柱地狱（下） | 霄旭民间故事 | 鬼故事
128十八层地狱之刀山地狱（上） | 霄旭民间故事 | 鬼故事
129十八层地狱之刀山地狱（下） | 霄旭民间故事 | 鬼故事
130十八层地狱之冰山地狱（上） | 霄旭民间故事 | 鬼故事
131十八层地狱之冰山地狱（下） | 霄旭民间故事 | 鬼故事
132十八层地狱之油锅地狱 | 霄旭民间故事 | 鬼故事
133十八层地狱之牛坑地狱 | 霄旭民间故事 | 鬼故事
134十八层地狱之石压地狱 | 霄旭民间故事 | 鬼故事
135十八层地狱之舂臼地狱 | 霄旭民间故事 | 鬼故事
136十八层地狱之枉死地狱 | 霄旭民间故事 | 鬼故事
137十八层地狱之血池地狱（上） | 霄旭民间故事 | 鬼故事
138十八层地狱之血池地狱（下） | 霄旭民间故事 | 鬼故事
139十八层地狱之磔刑地狱 | 霄旭民间故事 | 鬼故事
140十八层地狱之火山地狱 | 霄旭民间故事 | 鬼故事
141十八层地狱之石磨地狱（上） | 霄旭民间故事 | 鬼故事
142十八层地狱之石磨地狱（中） | 霄旭民间故事 | 鬼故事
143十八层地狱之石磨地狱（下） | 霄旭民间故事 | 鬼故事
144真的有鬼（一） | 霄旭民间故事 | 鬼故事
145真的有鬼（二） | 霄旭民间故事 | 鬼故事
146真的有鬼（三） | 霄旭民间故事 | 鬼故事
147真的有鬼（四）| 霄旭民间故事 | 鬼故事
148真的有鬼（五）| 霄旭民间故事 | 鬼故事
149真的有鬼（六）| 霄旭民间故事 | 鬼故事
150真的有鬼（七） | 霄旭民间故事 | 鬼故事
151真的有鬼（八） | 霄旭民间故事 | 鬼故事
152真的有鬼（九） | 霄旭民间故事 | 鬼故事
153真的有鬼（十） | 霄旭民间故事 | 鬼故事
154真的有鬼（十一） | 霄旭民间故事 | 鬼故事
155真的有鬼（十二） | 霄旭民间故事 | 鬼故事
156真的有鬼（十三） | 霄旭民间故事 | 鬼故事
157真的有鬼（十四） | 霄旭民间故事 | 鬼故事
158转世投胎 | 霄旭民间故事 | 鬼故事
159小水鬼（上） | 霄旭民间故事 | 鬼故事
160小水鬼（下） | 霄旭民间故事 | 鬼故事
161迁坟（上） | 霄旭民间故事 | 鬼故事
162迁坟（ 下） | 霄旭民间故事 | 鬼故事
163夜相随（上） | 霄旭民间故事 | 鬼故事
164夜相随（下） | 霄旭民间故事 | 鬼故事
165白龙肉汤 | 霄旭民间故事 | 鬼故事
166夜半敲门声| 霄旭民间故事 | 鬼故事
167西海子金库（上）| 霄旭民间故事 | 鬼故事
168西海子金库（下）| 霄旭民间故事 | 鬼故事
169婆婆偷吃鱼 | 霄旭民间故事 | 鬼故事
170猎狐（上） | 霄旭民间故事 | 鬼故事
171猎狐（下） | 霄旭民间故事 | 鬼故事
177虎头铡 | 霄旭民间故事 | 鬼故事
178斗鬼 | 霄旭民间故事 | 鬼故事
179羊肉火烧 | 霄旭民间故事 | 鬼故事
180驱鬼师遇鬼（上） | 霄旭民间故事 | 鬼故事
181驱鬼师遇鬼（下） | 霄旭民间故事 | 鬼故事
182温八赖之死（上） | 霄旭民间故事 | 鬼故事
183温八赖之死（下） | 霄旭民间故事 | 鬼故事
184勇敢的母亲 | 霄旭民间故事 | 鬼故事
185泥媳妇（上） | 霄旭民间故事 | 鬼故事
186泥媳妇（下） | 霄旭民间故事 | 鬼故事
187二十三床的病人| 霄旭民间故事 | 鬼故事
189夺夫（上） | 霄旭民间故事 | 鬼故事
190夺夫（下） | 霄旭民间故事 | 鬼故事
191小媳妇祭祖 | 霄旭民间故事 | 鬼故事
192空棂 | 霄旭民间故事 | 鬼故事
193报应 | 霄旭民间故事 | 鬼故事
194女鬼（上）| 霄旭民间故事 | 鬼故事
195女鬼（下）| 霄旭民间故事 | 鬼故事
196葛三之死| 霄旭民间故事 | 鬼故事
197金女人| 霄旭民间故事 | 鬼故事
198观花妹| 霄旭民间故事 | 鬼故事
199小鬼运财| 霄旭民间故事 | 鬼故事
200一梦不醒（上）| 霄旭民间故事 | 鬼故事
201一梦不醒（下）| 霄旭民间故事 | 鬼故事
202肃老大撞鬼| 霄旭民间故事 | 鬼故事
203生的考验| 霄旭民间故事 | 鬼故事
204鬼网| 霄旭民间故事 | 鬼故事
205电梯坠落前| 霄旭民间故事 | 鬼故事
206死鬼宋里终| 霄旭民间故事 | 鬼故事
207生死花（上）| 霄旭民间故事 | 鬼故事
208生死花（下）| 霄旭民间故事 | 鬼故事
209飞天夜叉（上）| 霄旭民间故事 | 鬼故事
210飞天夜叉（下）| 霄旭民间故事 | 鬼故事
211鬼眼 | 霄旭民间故事 | 鬼故事
212张挺秀借宿 | 霄旭民间故事 | 鬼故事
213零三号病房| 霄旭民间故事 | 鬼故事
214死囚| 霄旭民间故事 | 鬼故事
215鬼戏贪官| 霄旭民间故事 | 鬼故事
216红菱| 霄旭民间故事 | 鬼故事
217人造美人| 霄旭民间故事 | 鬼故事
218女鬼秀秀| 霄旭民间故事 | 鬼故事
219阴间超市（一）| 霄旭民间故事 | 鬼故事
220阴间超市（二）| 霄旭民间故事 | 鬼故事
221阴间超市（三） | 霄旭民间故事 | 鬼故事
222阴间超市（四） | 霄旭民间故事 | 鬼故事
223阴间超市（五） | 霄旭民间故事 | 鬼故事
224阴间超市（六） | 霄旭民间故事 | 鬼故事
225夜遇| 霄旭民间故事 | 鬼故事
226索命| 霄旭民间故事 | 鬼故事
227鬼差与商人 | 霄旭民间故事 | 鬼故事
228鬼笔 | 霄旭民间故事 | 鬼故事
229赌徒夜惊魂 | 霄旭民间故事 | 鬼故事
230诡异的手机 | 霄旭民间故事 | 鬼故事
231鬼妻| 霄旭民间故事 | 鬼故事
232一双红皮鞋（上）| 霄旭民间故事 | 鬼故事
233一双红皮鞋（下）| 霄旭民间故事 | 鬼故事
234一节断指（上） | 霄旭民间故事 | 鬼故事
235一节断指（下） | 霄旭民间故事 | 鬼故事
236丢失的记忆 | 霄旭民间故事 | 鬼故事
237凸出地面的脸（上） | 霄旭民间故事 | 鬼故事
238凸出地面的脸（下） | 霄旭民间故事 | 鬼故事
239列车杀人案（上） | 霄旭民间故事 | 鬼故事
240列车杀人案（下） | 霄旭民间故事 | 鬼故事
241午夜儿歌 | 霄旭民间故事 | 鬼故事
242午夜列车 | 霄旭民间故事 | 鬼故事
243午夜寝室楼（上） | 霄旭民间故事 | 鬼故事
244午夜寝室楼（下） | 霄旭民间故事 | 鬼故事
245嗜血（上）| 霄旭民间故事 | 鬼故事
246嗜血（下）| 霄旭民间故事 | 鬼故事
247噬魂夜| 霄旭民间故事 | 鬼故事
248四路公交车（上） | 霄旭民间故事 | 鬼故事
249四路公交车（下） | 霄旭民间故事 | 鬼故事
250坛子里的美女（上）
251坛子里的美女（下） | 霄旭民间故事 | 鬼故事
252大山里的歌声 | 霄旭民间故事 | 鬼故事
253天残 | 霄旭民间故事 | 鬼故事
254夺命电梯（一） | 霄旭民间故事 | 鬼故事
255夺命电梯（二） | 霄旭民间故事 | 鬼故事
256夺命电梯（三） | 霄旭民间故事 | 鬼故事
257奸杀案（上） | 霄旭民间故事 | 鬼故事
258奸杀案（下） | 霄旭民间故事 | 鬼故事
259姐妹花（上） | 霄旭民间故事 | 鬼故事
260姐妹花下（下） | 霄旭民间故事 | 鬼故事
261寂静的夜 | 霄旭民间故事 | 鬼故事
262寻找 | 霄旭民间故事 | 鬼故事
263废墟里的女孩（上） | 霄旭民间故事 | 鬼故事
264废墟里的女孩（下） | 霄旭民间故事 | 鬼故事
265恐怖小说家 | 霄旭民间故事 | 鬼故事
266恐怖的孤儿院（上） | 霄旭民间故事 | 鬼故事
267恐怖的孤儿院（下） | 霄旭民间故事 | 鬼故事
268恶鬼凶宅 | 霄旭民间故事 | 鬼故事
269我饿 | 霄旭民间故事 | 鬼故事
270换身（上） | 霄旭民间故事 | 鬼故事
271换身（下） | 霄旭民间故事 | 鬼故事
272敲门声（上） | 霄旭民间故事 | 鬼故事
273敲门声（下） | 霄旭民间故事 | 鬼故事
274楼上的女人（上） | 霄旭民间故事 | 鬼故事
275楼上的女人（下） | 霄旭民间故事 | 鬼故事
276死了都要爱（上） | 霄旭民间故事 | 鬼故事
277死了都要爱（下） | 霄旭民间故事 | 鬼故事
278死亡化妆师（上） 霄旭民间故事 | 鬼故事
279死亡化妆师（下） 霄旭民间故事 | 鬼故事
280海上惊魂（一） | 霄旭民间故事 | 鬼故事
281海上惊魂（二） | 霄旭民间故事 | 鬼故事
282海上惊魂（三） | 霄旭民间故事 | 鬼故事
283灵异小说家（上）| 霄旭民间故事 | 鬼故事
284灵异小说家（下）| 霄旭民间故事 | 鬼故事
285灵秀村诡事（上）| 霄旭民间故事 | 鬼故事
286灵秀村诡事（下）| 霄旭民间故事 | 鬼故事
287烈火红颜（上）| 霄旭民间故事 | 鬼故事
288烈火红颜（下）| 霄旭民间故事 | 鬼故事
289傻儿子的报复| 霄旭民间故事 | 鬼故事
290玉钗（上） | 霄旭民间故事 | 鬼故事
291玉钗（下） | 霄旭民间故事 | 鬼故事
292疯女人| 霄旭民间故事 | 鬼故事
293男孩| 霄旭民间故事 | 鬼故事
294疯女孩（上） | 霄旭民间故事 | 鬼故事
295疯女孩（下） | 霄旭民间故事 | 鬼故事
296疯长的头发（上）霄旭民间故事 | 鬼故事
297疯长的头发（下）霄旭民间故事 | 鬼故事
298百年恩怨（上）霄旭民间故事 | 鬼故事
299百年恩怨（下）霄旭民间故事 | 鬼故事
300碧水湖鬼| 霄旭民间故事 | 鬼故事
301等你长大（上）| 霄旭民间故事 | 鬼故事
302等你长大（下）| 霄旭民间故事 | 鬼故事
303筒子楼里的小男孩（上）| 霄旭民间故事 | 鬼故事
304筒子楼里的小男孩（下）| 霄旭民间故事 | 鬼故事
305纽扣| 霄旭民间故事 | 鬼故事
306老公的秘密（上）| 霄旭民间故事 | 鬼故事
307老公的秘密（下）| 霄旭民间故事 | 鬼故事
308血色拆迁| 霄旭民间故事 | 鬼故事
309血色的爱（上） | 霄旭民间故事 | 鬼故事
310血色的爱（下） | 霄旭民间故事 | 鬼故事
311血骷髅头（上） | 霄旭民间故事 | 鬼故事
312血骷髅头（下） | 霄旭民间故事 | 鬼故事
313诡异的白影（上）| 霄旭民间故事 | 鬼故事
314诡异的白影（下）| 霄旭民间故事 | 鬼故事
315通往天堂的公交车（上） | 霄旭民间故事 | 鬼故事
316通往天堂的公交车（下） | 霄旭民间故事 | 鬼故事
317钓上来的阴灵（上） | 霄旭民间故事 | 鬼故事
318钓上来的阴灵（下） | 霄旭民间故事 | 鬼故事
319雨中别墅（上）| 霄旭民间故事 | 鬼故事
320雨中别墅（下）| 霄旭民间故事 | 鬼故事
321雨夜诡事（上）| 霄旭民间故事 | 鬼故事
322雨夜诡事（下）| 霄旭民间故事 | 鬼故事
323风筝| 霄旭民间故事 | 鬼故事
324黑夜诡事| 霄旭民间故事 | 鬼故事
325恐怖黑衣人（上）| 霄旭民间故事 | 鬼故事
326恐怖黑衣人（下）| 霄旭民间故事 | 鬼故事
327黑色钱包（上）| 霄旭民间故事 | 鬼故事
328黑色钱包（下）| 霄旭民间故事 | 鬼故事
329黑衣人（上）| 霄旭民间故事 | 鬼故事
330黑衣人（下）| 霄旭民间故事 | 鬼故事
331孪生兄弟（上） | 霄旭民间故事 | 鬼故事
332孪生兄弟（下） | 霄旭民间故事 | 鬼故事
333草蛊婆| 霄旭民间故事 | 鬼故事
334吊猫树| 霄旭民间故事 | 鬼故事
335出租屋诡事| 霄旭民间故事 | 鬼故事
336夺命水库| 霄旭民间故事 | 鬼故事
337风水师| 霄旭民间故事 | 鬼故事
338赶尸诡事| 霄旭民间故事 | 鬼故事
339鬼父护女 | 霄旭民间故事 | 鬼故事
340鬼河| 霄旭民间故事 | 鬼故事
341鬼嫁女| 霄旭民间故事 | 鬼故事
342鬼楼惊魂夜| 霄旭民间故事 | 鬼故事
343鬼校魅影 | 霄旭民间故事 | 鬼故事
344鬼新娘 | 霄旭民间故事 | 鬼故事
345古镜鬼话| 霄旭民间故事 | 鬼故事
346鬼婴归来| 霄旭民间故事 | 鬼故事
347黄皮大仙的诅咒| 霄旭民间故事 | 鬼故事
348狐狸种 | 霄旭民间故事 | 鬼故事
349叫人救命的鬼 | 霄旭民间故事 | 鬼故事
350老狗| 霄旭民间故事 | 鬼故事
351老宅压着的尸骨| 霄旭民间故事 | 鬼故事
352冥婚| 霄旭民间故事 | 鬼故事
353肉汤 | 霄旭民间故事 | 鬼故事
354死亡高速 | 霄旭民间故事 | 鬼故事
355死亡游戏| 霄旭民间故事 | 鬼故事
356讨公道| 霄旭民间故事 | 鬼故事
357土地庙| 霄旭民间故事 | 鬼故事
358屋龙的故事| 霄旭民间故事 | 鬼故事
359午夜惊魂 | 霄旭民间故事 | 鬼故事
360爷爷的鬼屋 | 霄旭民间故事 | 鬼故事
361夜半人脸 | 霄旭民间故事 | 鬼故事
362饿死鬼 | 霄旭民间故事 | 鬼故事
363雨夜菩萨| 霄旭民间故事 | 鬼故事
364养鬼术| 霄旭民间故事 | 鬼故事
365朱砂绳| 霄旭民间故事 | 鬼故事
366帮个忙 | 霄旭民间故事 | 鬼故事
367村头的小卖部 | 霄旭民间故事 | 鬼故事
368打赌 | 霄旭民间故事 | 鬼故事
369浮尸| 霄旭民间故事 | 鬼故事
370回魂索命| 霄旭民间故事 | 鬼故事
371肩膀上的黑影| 霄旭民间故事 | 鬼故事
372借东西| 霄旭民间故事 | 鬼故事
373解剖室的心跳声| 霄旭民间故事 | 鬼故事
374空壳| 霄旭民间故事 | 鬼故事
375老房子的争吵声| 霄旭民间故事 | 鬼故事
376配阴婚| 霄旭民间故事 | 鬼故事
377深夜的打铁声| 霄旭民间故事 | 鬼故事
378梳妆台| 霄旭民间故事 | 鬼故事
379替死鬼| 霄旭民间故事 | 鬼故事
380铜盆| 霄旭民间故事 | 鬼故事
381阴阳眼 | 霄旭民间故事 | 鬼故事
382义庄里的惨叫声 | 霄旭民间故事 | 鬼故事
